seed,algorithm,primary_cost,total_cost,total_distance,effective_coverage,theoretical_coverage,obstacle_penalty,energy_range_percent,incomplete_tree_ratio,runtime_sec,task_ratio_v1,task_ratio_v2,task_ratio_v3,task_ratio_v4
42,ACO,2111.3288391314436,4676.134529506195,1815.180110028466,100.0,100.0,1558.6775215946175,23.532000220316714,0.0,375.9965031147003,25.0,25.0,25.0,25.0
43,ACO,1982.4758559460831,3926.348804668866,1796.4719740092235,100.0,100.0,978.9677996676821,18.337908188599357,0.0,373.1381335258484,25.0,25.0,25.0,25.0
44,ACO,2083.8048290276915,4178.937439489344,1729.816253879664,100.0,100.0,1863.0977639369876,19.851223892662553,0.0,367.41245770454407,25.0,25.0,25.0,25.0
45,ACO,1712.049555338623,5198.0420554426855,1585.5520622258498,100.0,100.0,665.7762795409116,32.67044553006148,0.0,373.7429850101471,25.0,25.0,25.0,25.0
46,ACO,2279.0981377532353,3152.21489701868,1817.4120228455652,100.0,100.0,2429.9269205666837,8.619648537972214,0.0,371.0049526691437,25.0,25.0,25.0,25.0
47,ACO,2212.8661727312433,3858.0581626356493,1837.904423365271,100.0,100.0,1973.4828913998545,15.416077245488216,0.0,375.53684735298157,25.0,25.0,25.0,25.0
48,ACO,1981.9788036894804,4254.221659750006,1752.1661386680203,100.0,100.0,1209.5403422182114,21.634788442511972,0.0,375.2978708744049,25.0,25.0,25.0,25.0
49,ACO,2265.6427008333953,3316.7436485734997,1899.548248313353,100.0,100.0,1926.812908000223,9.964545306796357,0.0,798.5329802036285,25.0,25.0,25.0,25.0
50,ACO,2148.579395333828,3528.177037893267,1754.5449236462982,100.0,100.0,2073.8656404606836,14.114063470332812,0.0,377.85899782180786,25.0,25.0,25.0,25.0
51,ACO,1896.2365127500707,4436.153801388162,1727.6352134131323,100.0,100.0,887.3752596680965,23.732067568867233,0.0,375.3571050167084,25.0,25.0,25.0,25.0
52,ACO,1979.5385779622186,4143.585076936005,1832.6914106980244,100.0,100.0,772.879827706285,20.47648495401883,0.0,572.9777767658234,25.0,25.0,25.0,25.0
53,ACO,1852.4845979971706,3767.8110071768933,1712.711354027996,100.0,100.0,735.6486524693389,18.970311502617257,0.0,374.0172498226166,25.0,25.0,25.0,25.0
54,ACO,1876.1073699266317,4525.555417526409,1628.4524774069907,100.0,100.0,1303.4468027349521,26.53616537237331,0.0,374.01708364486694,25.0,25.0,25.0,25.0
55,ACO,1978.7932396495355,4238.483202392983,1774.217975708442,100.0,100.0,1076.7119154794393,21.021508602006993,0.0,372.2185809612274,25.0,25.0,25.0,25.0
56,ACO,1899.1168584253319,4186.155235370408,1659.6540973261804,100.0,100.0,1260.3303215744813,22.42753295362081,0.0,501.136732339859,25.0,25.0,25.0,25.0
57,ACO,2131.9485927388387,4191.892065054061,1777.6313600678839,100.0,100.0,1864.8275403734476,19.32711191199039,0.0,383.1172385215759,25.0,25.0,25.0,25.0
58,ACO,2323.8077400523707,3963.1187227738524,1945.960695057011,100.0,100.0,1988.6686578703152,14.355560486786054,0.0,411.7567322254181,25.0,25.0,25.0,25.0
59,ACO,1791.1377432628906,4235.780472941175,1621.43306335378,100.0,100.0,893.1825258374249,24.682347837242055,0.0,771.1388280391693,25.0,25.0,25.0,25.0
60,ACO,1803.8559739347543,4912.11844089482,1615.7961678054796,100.0,100.0,989.7884533119715,30.288002605666385,0.0,373.3095004558563,25.0,25.0,25.0,25.0
61,ACO,2171.280694490411,4066.12026286338,1802.3134401171608,100.0,100.0,1941.9329177539478,17.588217537473657,0.0,371.97139167785645,25.0,25.0,25.0,25.0
