parameter,display_parameter,multiplier,actual_value,primary_cost_mean,total_distance_mean,obstacle_penalty_mean
lambda_o,λ_o,0.8,0.152,1397.3763380384555,1333.141499897399,422.59761934905634
lambda_o,λ_o,0.9,0.171,1408.6058479823585,1331.2274786317553,452.5050839216554
lambda_o,λ_o,1.0,0.190,1413.7605070378763,1334.179003149032,418.8500204676019
lambda_o,λ_o,1.1,0.209,1424.3377879519662,1342.7202123287757,390.51471590043326
lambda_o,λ_o,1.2,0.228,1424.103635596562,1337.4330470860905,380.1341601336475
partition_battery_power,partition_battery_power,0.8,0.680,1424.0480641923025,1346.0084067031848,410.7350394164073
partition_battery_power,partition_battery_power,0.9,0.765,1427.1701427925186,1341.0486888336627,453.27081030976814
partition_battery_power,partition_battery_power,1.0,0.850,1413.7605070378763,1334.179003149032,418.8500204676019
partition_battery_power,partition_battery_power,1.1,0.935,1419.1837350815206,1338.1865972216924,426.3007255780429
partition_battery_power,partition_battery_power,1.2,1.020,1401.0039255182703,1325.1915184911568,399.01266856375776
