seed,algorithm,primary_cost,total_cost,total_distance,effective_coverage,theoretical_coverage,obstacle_penalty,energy_range_percent,incomplete_tree_ratio,runtime_sec,task_ratio_v1,task_ratio_v2,task_ratio_v3,task_ratio_v4,layered_refine_trigger_count,layered_refine_success_count
42,F-LCA-no-orthogonal,1037.0327736529057,1585.5789071495137,903.5685146160046,25.0,100.0,702.4434686152697,12.388484186804332,0.0,50.39805626869202,0.0,0.0,0.0,0.0,14,10
43,F-LCA-no-orthogonal,1062.3656881827203,1920.5766217717191,949.8405176715655,25.0,100.0,592.2377395323938,17.45714385156596,0.0,49.79583406448364,0.0,0.0,0.0,0.0,14,8
44,F-LCA-no-orthogonal,931.8863540589673,1476.903493378808,823.0228759150507,25.0,100.0,572.9656744416662,13.520678394233055,0.0,49.77670645713806,0.0,0.0,0.0,0.0,13,7
45,F-LCA-no-orthogonal,938.7958400714278,1706.9403512297108,868.4497338312038,25.0,100.0,370.24266442223154,16.221706306453246,0.0,48.81585097312927,0.0,0.0,0.0,0.0,11,4
46,F-LCA-no-orthogonal,900.0657837401523,1631.4030869272226,831.3440296546473,25.0,100.0,361.6934425552889,17.348946418988024,0.0,49.139686584472656,0.0,0.0,0.0,0.0,11,4
47,F-LCA-no-orthogonal,867.0707029876675,1114.0071222586864,813.3794634208109,25.0,100.0,282.5854714045082,7.17542242209895,0.0,49.577168703079224,0.0,0.0,0.0,0.0,14,8
48,F-LCA-no-orthogonal,933.4737458513098,1221.2147107377343,846.3141574495592,25.0,100.0,458.7346757986876,7.684299549241985,0.0,50.20079159736633,0.0,0.0,0.0,0.0,14,6
49,F-LCA-no-orthogonal,916.142991693579,1656.5982798577616,838.9244838689146,25.0,100.0,406.41319907718076,16.82460940324175,0.0,48.17131471633911,0.0,0.0,0.0,0.0,14,4
50,F-LCA-no-orthogonal,1010.2675862174033,1823.1611515625468,859.9465034681415,25.0,100.0,791.1635934171675,17.615702532387044,0.0,49.130117893218994,0.0,0.0,0.0,0.0,12,7
51,F-LCA-no-orthogonal,958.753485112456,1487.2900767089145,864.1891047896245,25.0,100.0,497.7072648570083,12.478766809026958,0.0,49.552505016326904,0.0,0.0,0.0,0.0,13,5
52,F-LCA-no-orthogonal,915.3606915383575,1533.0342940590504,887.8855882758152,25.0,100.0,144.60580664495944,13.98156465996398,0.0,49.69895792007446,0.0,0.0,0.0,0.0,11,2
53,F-LCA-no-orthogonal,965.3820012628022,1736.2623031254088,919.827568701044,25.0,100.0,239.76017137767434,15.947892068360062,0.0,48.957255601882935,0.0,0.0,0.0,0.0,13,8
54,F-LCA-no-orthogonal,867.9161927272501,1495.3094811707533,796.4318954568537,25.0,100.0,376.2331435284021,15.16506276121575,0.0,49.602346420288086,0.0,0.0,0.0,0.0,13,7
55,F-LCA-no-orthogonal,914.045791232837,1673.5427252081004,827.9516118236312,25.0,100.0,453.12726004845155,17.727809087047923,0.0,49.039992332458496,0.0,0.0,0.0,0.0,12,9
56,F-LCA-no-orthogonal,1032.8922783763217,2120.0921686960974,879.6297001932932,25.0,100.0,806.6451483317288,21.85400155559727,0.0,48.72637724876404,0.0,0.0,0.0,0.0,12,4
57,F-LCA-no-orthogonal,849.5768046345289,1252.1916667135517,797.0723005603785,25.0,100.0,276.3394951271073,10.677369327047032,0.0,49.13027882575989,0.0,0.0,0.0,0.0,11,7
58,F-LCA-no-orthogonal,839.497010424555,1491.962025336487,765.8077719592102,25.0,100.0,387.8380971860255,16.91519356052059,0.0,50.256813764572144,0.0,0.0,0.0,0.0,13,6
59,F-LCA-no-orthogonal,877.4434573691583,1534.6493881635342,808.166977279757,25.0,100.0,364.61305310211213,16.044034375920635,0.0,50.11827325820923,0.0,0.0,0.0,0.0,13,7
60,F-LCA-no-orthogonal,880.6897621089912,1327.9800172537134,831.9068166187587,25.0,100.0,256.7523446854342,11.109294908538729,0.0,49.275474071502686,0.0,0.0,0.0,0.0,12,6
61,F-LCA-no-orthogonal,907.2122503158979,1431.733033972033,861.0310916481142,25.0,100.0,243.0587298304409,12.754869317706593,0.0,49.908486127853394,0.0,0.0,0.0,0.0,13,9
