seed,algorithm,primary_cost,total_cost,total_distance,effective_coverage,theoretical_coverage,obstacle_penalty,energy_range_percent,incomplete_tree_ratio,runtime_sec,task_ratio_v1,task_ratio_v2,task_ratio_v3,task_ratio_v4,layered_refine_trigger_count,layered_refine_success_count
42,F-LCA-no-layered,1584.8928944893153,4295.69356447738,1435.2844195599505,100.0,100.0,787.4130259440254,29.975929727061956,0.0,73.02637839317322,0.0,0.0,0.0,0.0,0,0
43,F-LCA-no-layered,1498.7293892270432,2872.6102433818073,1457.9470325784353,100.0,100.0,214.6439823610942,17.170740483383838,0.0,72.57288479804993,0.0,0.0,0.0,0.0,0,0
44,F-LCA-no-layered,1394.0468318989576,2477.050162846724,1332.4822018836708,100.0,100.0,324.0243685015102,14.871165717913975,0.0,72.1047260761261,0.0,0.0,0.0,0.0,0,0
45,F-LCA-no-layered,1443.8884002824357,2778.322567655142,1340.1712368151002,100.0,100.0,545.8798077228179,17.676665065764357,0.0,73.88528823852539,0.0,0.0,0.0,0.0,0,0
46,F-LCA-no-layered,1457.2347032143869,3115.0751065164504,1392.1072852058342,100.0,100.0,342.7758842555409,20.802985416454437,0.0,72.16041374206543,0.0,0.0,0.0,0.0,0,0
47,F-LCA-no-layered,1493.9610523949978,2918.3212627838266,1449.149451674311,100.0,100.0,235.85053010887827,17.41637624537914,0.0,70.71866083145142,0.0,0.0,0.0,0.0,0,0
48,F-LCA-no-layered,1494.308125825667,2643.042994456363,1427.6773617766619,100.0,100.0,350.68823183686914,14.548929252676704,0.0,74.50364828109741,0.0,0.0,0.0,0.0,0,0
49,F-LCA-no-layered,1515.5919333381798,2636.855295063092,1379.4724565655374,100.0,100.0,716.4182988033806,14.676899625599052,0.0,73.20619630813599,0.0,0.0,0.0,0.0,0,0
50,F-LCA-no-layered,1575.534090267983,4610.757793367669,1469.761775292415,100.0,100.0,556.6963946082528,31.84111267301855,0.0,73.49064636230469,0.0,0.0,0.0,0.0,0,0
51,F-LCA-no-layered,1594.3358051973914,2933.5634179937,1428.3668030083002,100.0,100.0,873.5210641531121,16.871576053112417,0.0,71.79492950439453,0.0,0.0,0.0,0.0,0,0
52,F-LCA-no-layered,1471.2527984456617,3487.007364232344,1390.9122796845018,100.0,100.0,422.84483558505235,25.16917733953854,0.0,70.00822424888611,0.0,0.0,0.0,0.0,0,0
53,F-LCA-no-layered,1331.4077067538713,2543.7763130733238,1273.000865944071,100.0,100.0,307.40442531473826,17.38099575731426,0.0,73.2018187046051,0.0,0.0,0.0,0.0,0,0
54,F-LCA-no-layered,1396.7927355396444,2394.9484395066834,1293.599790391593,100.0,100.0,543.1207639371128,14.034258727675184,0.0,74.35728287696838,0.0,0.0,0.0,0.0,0,0
55,F-LCA-no-layered,1479.4806809327827,2738.8426749157024,1379.3772290713855,100.0,100.0,526.860272954722,15.906409912172176,0.0,73.73803782463074,0.0,0.0,0.0,0.0,0,0
56,F-LCA-no-layered,1456.5103763099398,3915.2331162667424,1340.0905103461566,100.0,100.0,612.7361366514907,29.315753033949203,0.0,72.51425123214722,0.0,0.0,0.0,0.0,0,0
57,F-LCA-no-layered,1439.9578288970417,2617.5605116765973,1374.381762605684,100.0,100.0,345.13719100714616,15.646414209823709,0.0,73.9857165813446,0.0,0.0,0.0,0.0,0,0
58,F-LCA-no-layered,1383.6739504297861,2283.4112418662844,1338.72396048589,100.0,100.0,236.57889444155774,12.362955140938277,0.0,74.17610359191895,0.0,0.0,0.0,0.0,0,0
59,F-LCA-no-layered,1400.234823127523,2671.9204020440625,1352.1930489406498,100.0,100.0,252.85144308880635,16.984986380929577,0.0,73.10492539405823,0.0,0.0,0.0,0.0,0,0
60,F-LCA-no-layered,1415.454531942741,2500.3782819366224,1327.3458479268756,100.0,100.0,463.7299158729753,14.74744186076701,0.0,71.39474058151245,0.0,0.0,0.0,0.0,0,0
61,F-LCA-no-layered,1509.815042821635,2540.0697155778025,1429.089215123574,100.0,100.0,424.8727773582164,13.15074907072258,0.0,71.44040894508362,0.0,0.0,0.0,0.0,0,0
