parameter,multiplier,seed,lambda_balance,lambda_obstacle,lambda_missing_point,lambda_tree_incomplete,partition_battery_power,primary_cost,total_cost,total_distance,theoretical_coverage,effective_coverage,obstacle_penalty,energy_range_percent,incomplete_tree_ratio,runtime_sec
lambda_o,0.8,42,0.68,0.152,18.0,22.0,0.85,1594.3689721446106,3342.5512418456365,1472.9995260251874,100.0,100.0,798.4831981540995,20.103882002669213,0.0,74.4765374660492
lambda_o,0.8,43,0.68,0.152,18.0,22.0,0.85,1445.7169180190688,2503.300132469873,1380.4718046347905,100.0,100.0,429.2441670018324,14.157797674573832,0.0,73.41291117668152
lambda_o,0.8,44,0.68,0.152,18.0,22.0,0.85,1347.3463505927286,2605.011767022562,1297.8032454544225,100.0,100.0,325.9414811730681,17.65471195982363,0.0,70.94666934013367
lambda_o,0.8,45,0.68,0.152,18.0,22.0,0.85,1422.1546651319502,2743.3906260635986,1307.8225956430508,100.0,100.0,752.1846676901272,17.51828539971926,0.0,70.74766492843628
lambda_o,0.8,46,0.68,0.152,18.0,22.0,0.85,1357.033802446512,2248.5324859754937,1304.3356911837477,100.0,100.0,346.6981004129235,12.524549922652852,0.0,70.08306312561035
lambda_o,0.8,47,0.68,0.152,18.0,22.0,0.85,1429.7327256407846,2442.500057133828,1393.5306238901585,100.0,100.0,238.1717220435941,12.953211066809985,0.0,69.22233009338379
lambda_o,0.8,48,0.68,0.152,18.0,22.0,0.85,1434.7352427235087,1789.7976206662788,1398.8531618593174,100.0,100.0,236.06632147494312,5.055932825507687,0.0,70.02153873443604
lambda_o,0.8,49,0.68,0.152,18.0,22.0,0.85,1400.3634735674532,1975.7574136521248,1307.801056460264,100.0,100.0,608.9632704420344,8.509782027397932,0.0,68.33956265449524
lambda_o,0.8,50,0.68,0.152,18.0,22.0,0.85,1277.293489841735,2307.0539521848696,1242.598302422234,100.0,100.0,228.25781197040104,15.246556034811809,0.0,68.7854323387146
lambda_o,0.8,51,0.68,0.152,18.0,22.0,0.85,1444.0891918122798,2775.3426761983947,1391.377762111585,100.0,100.0,346.7857217150963,17.250608611293245,0.0,70.72262907028198
lambda_o,0.8,52,0.68,0.152,18.0,22.0,0.85,1486.5115690454977,2772.732563043517,1405.041980305418,100.0,100.0,535.9841364478923,16.546043650725967,0.0,67.91785836219788
lambda_o,0.8,53,0.68,0.152,18.0,22.0,0.85,1308.8299823546065,2204.533514592344,1262.29870005986,100.0,100.0,306.1268572022784,13.506616870111891,0.0,69.26695251464844
lambda_o,0.8,54,0.68,0.152,18.0,22.0,0.85,1337.9035100639671,2427.8045231808683,1270.5929573736114,100.0,100.0,442.8325834891818,15.283558078542296,0.0,69.21443200111389
lambda_o,0.8,55,0.68,0.152,18.0,22.0,0.85,1389.0078019305329,2604.534731444525,1340.859915425502,100.0,100.0,316.7624112173082,16.747777014893085,0.0,68.34520149230957
lambda_o,0.8,56,0.68,0.152,18.0,22.0,0.85,1415.6108256967518,2586.8042149528283,1322.9023144766684,100.0,100.0,609.9244159216021,15.925090604950466,0.0,68.29864835739136
lambda_o,0.8,57,0.68,0.152,18.0,22.0,0.85,1355.577425945364,2084.145338049857,1302.6711744722477,100.0,100.0,348.06744390208047,10.544553897781965,0.0,68.68536186218262
lambda_o,0.8,58,0.68,0.152,18.0,22.0,0.85,1355.5301027500873,2100.130327220485,1319.5838934694898,100.0,100.0,236.48821895129944,10.652619373271106,0.0,70.96679067611694
lambda_o,0.8,59,0.68,0.152,18.0,22.0,0.85,1375.1484153660742,2368.2880343447114,1321.0212475815365,100.0,100.0,356.099788056171,13.51967471914694,0.0,69.95392322540283
lambda_o,0.8,60,0.68,0.152,18.0,22.0,0.85,1355.725450291858,2031.3645432257476,1301.7490190599558,100.0,100.0,355.1081002098837,9.880063459518755,0.0,70.46776676177979
lambda_o,0.8,61,0.68,0.152,18.0,22.0,0.85,1414.846845403738,2580.395696840319,1318.515026038931,100.0,100.0,633.7619695053096,15.923853608116591,0.0,69.88043427467346
lambda_o,0.9,42,0.68,0.171,18.0,22.0,0.85,1487.4696370681272,2210.57624751976,1392.074633680813,100.0,100.0,557.865516884881,9.778812593160715,0.0,68.50581240653992
lambda_o,0.9,43,0.68,0.171,18.0,22.0,0.85,1453.8725571921036,2511.455771642908,1380.4718046347905,100.0,100.0,429.2441670018324,14.157797674573832,0.0,69.99763011932373
lambda_o,0.9,44,0.68,0.171,18.0,22.0,0.85,1409.3821190753376,2254.0218297429924,1335.7681835648807,100.0,100.0,430.4908509383442,11.562168122638012,0.0,69.18795228004456
lambda_o,0.9,45,0.68,0.171,18.0,22.0,0.85,1441.5240208668076,2456.046991158507,1347.9778775341083,100.0,100.0,547.0534697818656,13.867821907104958,0.0,71.27091026306152
lambda_o,0.9,46,0.68,0.171,18.0,22.0,0.85,1341.629458676823,2356.777523000913,1264.620864199799,100.0,100.0,450.3426577603769,14.809049772747562,0.0,70.8120789527893
lambda_o,0.9,47,0.68,0.171,18.0,22.0,0.85,1438.7318055220453,2471.632510883212,1323.8902771348808,100.0,100.0,671.5878853050556,14.359873835750758,0.0,68.04593348503113
lambda_o,0.9,48,0.68,0.171,18.0,22.0,0.85,1386.177929964903,2602.9203807713657,1348.0039596898596,100.0,100.0,223.23959225171384,16.350977106558503,0.0,67.22352695465088
lambda_o,0.9,49,0.68,0.171,18.0,22.0,0.85,1478.8300260214771,2657.295882080632,1338.2044567470211,100.0,100.0,822.371750143017,15.492740052659592,0.0,68.20069646835327
lambda_o,0.9,50,0.68,0.171,18.0,22.0,0.85,1332.8890946986096,2327.661650914177,1273.951722386324,100.0,100.0,344.66299597827816,14.14757798118968,0.0,68.87760758399963
lambda_o,0.9,51,0.68,0.171,18.0,22.0,0.85,1460.562429019643,2368.729783669487,1365.4100367940412,100.0,100.0,556.4467381614165,12.54391551749266,0.0,67.71371746063232
lambda_o,0.9,52,0.68,0.171,18.0,22.0,0.85,1470.6500533739386,2146.0099974736618,1416.763855657232,100.0,100.0,315.1239632555939,8.996569549121025,0.0,68.79502940177917
lambda_o,0.9,53,0.68,0.171,18.0,22.0,0.85,1318.2281648471171,2502.5710804183336,1284.491896096723,100.0,100.0,197.28812134733533,16.66025468527034,0.0,69.17374062538147
lambda_o,0.9,54,0.68,0.171,18.0,22.0,0.85,1340.2591795151611,2529.1243637425296,1246.596567503378,100.0,100.0,547.7345731683237,16.90616996480325,0.0,69.49114656448364
lambda_o,0.9,55,0.68,0.171,18.0,22.0,0.85,1332.5165450169525,2213.059098432857,1278.6680696414082,100.0,100.0,314.9033647692628,12.99574490835541,0.0,68.8591742515564
lambda_o,0.9,56,0.68,0.171,18.0,22.0,0.85,1461.18724914409,2477.7312177424983,1321.8189605449488,100.0,100.0,815.019231573925,14.016665112251433,0.0,66.38302850723267
lambda_o,0.9,57,0.68,0.171,18.0,22.0,0.85,1432.862369250365,2663.340313374769,1391.1695840004932,100.0,100.0,243.81745760158992,15.42360630722999,0.0,68.71898436546326
