parameter,display_parameter,parameter_description,multiplier,n,actual_value,lambda_balance,lambda_obstacle,lambda_missing_point,lambda_tree_incomplete,partition_battery_power,primary_cost_mean,primary_cost_std,total_cost_mean,total_cost_std,total_distance_mean,total_distance_std,theoretical_coverage_mean,theoretical_coverage_std,effective_coverage_mean,effective_coverage_std,obstacle_penalty_mean,obstacle_penalty_std,energy_range_percent_mean,energy_range_percent_std,incomplete_tree_ratio_mean,incomplete_tree_ratio_std,runtime_sec_mean,runtime_sec_std
lambda_o,λ_o,Obstacle-penalty weight λ_o,0.8,20,0.152,0.68,0.152,18.0,22.0,0.85,1397.3763380384555,69.09123159205369,2424.698573005393,354.4592030300425,1333.141499897399,56.8656156576363,100.0,0.0,100.0,0.0,422.59761934905634,174.56739921721555,13.975258440115926,3.643433889007604,0.0,0.0,69.98778542280198,1.662702825303131
lambda_o,λ_o,Obstacle-penalty weight λ_o,0.9,20,0.171,0.68,0.171,18.0,22.0,0.85,1408.6058479823585,54.79479452530643,2404.494661529652,163.87256754835312,1331.2274786317553,45.36119177536026,100.0,0.0,100.0,0.0,452.5050839216554,181.802994035012,13.721701664774772,2.256618320542564,0.0,0.0,69.04486700296403,1.1885427713776433
lambda_o,λ_o,Obstacle-penalty weight λ_o,1.0,20,0.190,0.68,0.19,18.0,22.0,0.85,1413.7605070378763,72.88071675763685,2466.3308459101613,328.6385153322977,1334.179003149032,59.11264597459139,100.0,0.0,100.0,0.0,418.8500204676019,192.6975646842409,14.26525213515824,3.311312128930882,0.0,0.0,69.86438068151475,1.1782491442841907
lambda_o,λ_o,Obstacle-penalty weight λ_o,1.1,20,0.209,0.68,0.209,18.0,22.0,0.85,1424.3377879519662,69.22529637977632,2455.397297433944,282.1789594133985,1342.7202123287757,54.65259445157778,100.0,0.0,100.0,0.0,390.51471590043326,161.20871780370325,13.947448050012715,3.070542644569412,0.0,0.0,69.58750867843628,1.2905000603278405
lambda_o,λ_o,Obstacle-penalty weight λ_o,1.2,20,0.228,0.68,0.2279999999999999,18.0,22.0,0.85,1424.103635596562,69.51356792399429,2452.7173995986154,243.59528811466305,1337.4330470860905,56.83592430826311,100.0,0.0,100.0,0.0,380.1341601336475,165.1496228645397,14.055520102548655,2.704422346748213,0.0,0.0,68.77626934051514,1.2287014152590507
partition_battery_power,partition_battery_power,Battery-aware partition exponent,0.8,20,0.680,0.68,0.19,18.0,22.0,0.68,1424.0480641923025,58.822563031054806,2572.092337153646,292.8069347553798,1346.0084067031848,57.74873189042955,100.0,0.0,100.0,0.0,410.7350394164073,154.3331052123282,15.471345807238851,2.7451191983540038,0.0,0.0,69.17774556875229,1.240487618807238
partition_battery_power,partition_battery_power,Battery-aware partition exponent,0.9,20,0.765,0.68,0.19,18.0,22.0,0.765,1427.1701427925186,75.34408140368315,2530.094423280756,306.7905240476657,1341.0486888336627,54.660568695409815,100.0,0.0,100.0,0.0,453.27081030976814,212.2875698521353,14.764422919951892,3.216567198064272,0.0,0.0,69.51622153520584,1.0751408072280697
partition_battery_power,partition_battery_power,Battery-aware partition exponent,1.0,20,0.850,0.68,0.19,18.0,22.0,0.85,1413.7605070378763,72.88071675763685,2466.3308459101613,328.6385153322977,1334.179003149032,59.11264597459139,100.0,0.0,100.0,0.0,418.8500204676019,192.6975646842409,14.26525213515824,3.311312128930882,0.0,0.0,69.59857088327408,1.272509362235896
partition_battery_power,partition_battery_power,Battery-aware partition exponent,1.1,20,0.935,0.68,0.19,18.0,22.0,0.935,1419.1837350815206,53.69958519145403,2498.592194614523,290.3089276793003,1338.1865972216924,39.39077785437512,100.0,0.0,100.0,0.0,426.3007255780429,142.95369641473,14.508092663863737,3.2825880866516712,0.0,0.0,70.38449747562409,1.6847359686900605
partition_battery_power,partition_battery_power,Battery-aware partition exponent,1.2,20,1.020,0.68,0.19,18.0,22.0,1.02,1401.0039255182703,70.59388768076775,2440.6650852462585,275.526636335266,1325.1915184911568,63.13186628193452,100.0,0.0,100.0,0.0,399.01266856375776,190.5873370431388,14.23826753997117,3.3889423376994685,0.0,0.0,72.55089880228043,2.625243188832636
