Parameter,Parameter meaning,Multiplier,Actual value,Primary Cost,Total Cost,Total Distance / m,Effective Coverage / %,Obstacle Penalty,Energy Range / %
λ_o,Obstacle-penalty weight λ_o,0.8×,0.152,1397.38 ± 69.09,2424.70 ± 354.46,1333.14 ± 56.87,100.00 ± 0.00,422.60 ± 174.57,13.98 ± 3.64
λ_o,Obstacle-penalty weight λ_o,0.9×,0.171,1408.61 ± 54.79,2404.49 ± 163.87,1331.23 ± 45.36,100.00 ± 0.00,452.51 ± 181.80,13.72 ± 2.26
λ_o,Obstacle-penalty weight λ_o,1.0×,0.190,1413.76 ± 72.88,2466.33 ± 328.64,1334.18 ± 59.11,100.00 ± 0.00,418.85 ± 192.70,14.27 ± 3.31
λ_o,Obstacle-penalty weight λ_o,1.1×,0.209,1424.34 ± 69.23,2455.40 ± 282.18,1342.72 ± 54.65,100.00 ± 0.00,390.51 ± 161.21,13.95 ± 3.07
λ_o,Obstacle-penalty weight λ_o,1.2×,0.228,1424.10 ± 69.51,2452.72 ± 243.60,1337.43 ± 56.84,100.00 ± 0.00,380.13 ± 165.15,14.06 ± 2.70
partition_battery_power,Battery-aware partition exponent,0.8×,0.680,1424.05 ± 58.82,2572.09 ± 292.81,1346.01 ± 57.75,100.00 ± 0.00,410.74 ± 154.33,15.47 ± 2.75
partition_battery_power,Battery-aware partition exponent,0.9×,0.765,1427.17 ± 75.34,2530.09 ± 306.79,1341.05 ± 54.66,100.00 ± 0.00,453.27 ± 212.29,14.76 ± 3.22
partition_battery_power,Battery-aware partition exponent,1.0×,0.850,1413.76 ± 72.88,2466.33 ± 328.64,1334.18 ± 59.11,100.00 ± 0.00,418.85 ± 192.70,14.27 ± 3.31
partition_battery_power,Battery-aware partition exponent,1.1×,0.935,1419.18 ± 53.70,2498.59 ± 290.31,1338.19 ± 39.39,100.00 ± 0.00,426.30 ± 142.95,14.51 ± 3.28
partition_battery_power,Battery-aware partition exponent,1.2×,1.020,1401.00 ± 70.59,2440.67 ± 275.53,1325.19 ± 63.13,100.00 ± 0.00,399.01 ± 190.59,14.24 ± 3.39
λ_b,Path-balance weight λ_b,0.8×,0.544,1413.76 ± 72.88,2441.46 ± 327.67,1334.18 ± 59.11,100.00 ± 0.00,418.85 ± 192.70,14.27 ± 3.31
λ_b,Path-balance weight λ_b,0.9×,0.612,1413.76 ± 72.88,2453.90 ± 328.15,1334.18 ± 59.11,100.00 ± 0.00,418.85 ± 192.70,14.27 ± 3.31
λ_b,Path-balance weight λ_b,1.0×,0.680,1413.76 ± 72.88,2466.33 ± 328.64,1334.18 ± 59.11,100.00 ± 0.00,418.85 ± 192.70,14.27 ± 3.31
λ_b,Path-balance weight λ_b,1.1×,0.748,1413.76 ± 72.88,2478.76 ± 329.13,1334.18 ± 59.11,100.00 ± 0.00,418.85 ± 192.70,14.27 ± 3.31
λ_b,Path-balance weight λ_b,1.2×,0.816,1413.76 ± 72.88,2491.20 ± 329.62,1334.18 ± 59.11,100.00 ± 0.00,418.85 ± 192.70,14.27 ± 3.31
λ_c,Observation-completeness penalty multiplier λ_c,0.8×,14.4 / 17.6,1413.76 ± 72.88,2466.33 ± 328.64,1334.18 ± 59.11,100.00 ± 0.00,418.85 ± 192.70,14.27 ± 3.31
λ_c,Observation-completeness penalty multiplier λ_c,0.9×,16.2 / 19.8,1413.76 ± 72.88,2466.33 ± 328.64,1334.18 ± 59.11,100.00 ± 0.00,418.85 ± 192.70,14.27 ± 3.31
λ_c,Observation-completeness penalty multiplier λ_c,1.0×,18.0 / 22.0,1413.76 ± 72.88,2466.33 ± 328.64,1334.18 ± 59.11,100.00 ± 0.00,418.85 ± 192.70,14.27 ± 3.31
λ_c,Observation-completeness penalty multiplier λ_c,1.1×,19.8 / 24.2,1413.76 ± 72.88,2466.33 ± 328.64,1334.18 ± 59.11,100.00 ± 0.00,418.85 ± 192.70,14.27 ± 3.31
λ_c,Observation-completeness penalty multiplier λ_c,1.2×,21.6 / 26.4,1413.76 ± 72.88,2466.33 ± 328.64,1334.18 ± 59.11,100.00 ± 0.00,418.85 ± 192.70,14.27 ± 3.31
