seed,algorithm,primary_cost,total_cost,total_distance,effective_coverage,theoretical_coverage,obstacle_penalty,energy_range_percent,incomplete_tree_ratio,runtime_sec,task_ratio_v1,task_ratio_v2,task_ratio_v3,task_ratio_v4
42,GA,3887.202352799444,4181.436332013765,3354.3823871753825,100.0,100.0,2804.3156085476903,0.4401034863455728,0.0,144.6962287425995,28.75,27.5,21.25,22.5
43,GA,4066.942362065471,4388.956110468333,3641.581561136577,100.0,100.0,2238.7410575204954,0.7516514787093925,0.0,157.59426403045654,33.75,26.25,20.0,20.0
44,GA,3884.1773851038324,4183.805846392422,3416.985696147363,100.0,100.0,2458.903626086683,0.7571058527133719,0.0,77.37874007225037,31.25,25.0,21.25,22.5
45,GA,3974.0193303258993,4284.340641132682,3545.2537602590896,100.0,100.0,2256.660895088473,0.701064904228899,0.0,51.02474761009216,28.75,26.25,23.75,21.25
46,GA,3931.278837098003,4230.803517459565,3404.588723047773,100.0,100.0,2772.0532318433156,0.6488238034611775,0.0,51.21289825439453,27.5,26.25,22.5,23.75
47,GA,3613.163425603764,3895.6817371826705,3208.226784614644,100.0,100.0,2131.245478890106,0.8690779208642637,0.0,50.63162016868591,27.5,27.5,25.0,20.0
48,GA,3668.9129598714985,3953.040149929838,3248.6827304927624,100.0,100.0,2211.738049361769,0.8582814736521891,0.0,51.044517517089844,32.5,22.5,21.25,23.75
49,GA,3851.543527624501,4140.416528403348,3267.94833754477,100.0,100.0,3071.5536319985863,0.5524270065199571,0.0,51.07629418373108,27.5,26.25,22.5,23.75
50,GA,3409.0180342780213,3674.338535040535,3031.7078446655137,100.0,100.0,1985.843103223725,0.46828093295427764,0.0,51.55269527435303,30.0,26.25,20.0,23.75
51,GA,3444.401897414393,3716.8571321415757,3104.5252887096985,100.0,100.0,1788.8242563404972,0.8761091117800774,0.0,51.73292517662048,31.25,26.25,23.75,18.75
52,GA,3678.01607619059,3960.2646181881237,3210.7482431772073,100.0,100.0,2459.3043842809616,0.8605693769846027,0.0,50.70643663406372,27.5,30.0,20.0,22.5
53,GA,3749.899230291762,4048.5453786825765,3407.0384902380206,100.0,100.0,1804.5302108091646,0.4145511021357534,0.0,51.29117965698242,33.75,27.5,20.0,18.75
54,GA,3710.074501465786,3991.621295841904,3195.8349331667782,100.0,100.0,2706.524043678988,0.5854934621751997,0.0,50.93242907524109,31.25,25.0,22.5,21.25
55,GA,4015.710834643972,4332.990926667607,3619.3455373656993,100.0,100.0,2086.133143569856,0.6637806872327688,0.0,51.502039194107056,28.75,23.75,21.25,26.25
56,GA,3897.240360926439,4192.04946833561,3360.2996931629878,100.0,100.0,2826.0035145444795,0.6712963912112748,0.0,51.335886001586914,27.5,25.0,25.0,22.5
57,GA,3341.388494132289,3611.322914300372,3079.206277419719,100.0,100.0,1379.90640375037,0.836577450995336,0.0,51.74862551689148,28.75,28.75,22.5,20.0
58,GA,4360.822282969735,4688.584215577722,3726.8461678578697,100.0,100.0,3336.716395325606,0.4257671214720251,0.0,51.56242918968201,36.25,25.0,20.0,18.75
59,GA,3829.101089173721,4131.296804550405,3417.04396618192,100.0,100.0,2168.7216999568464,0.7635634358846237,0.0,51.02347493171692,32.5,26.25,18.75,22.5
60,GA,3656.0916178321177,3938.2950942905454,3228.8035908614997,100.0,100.0,2248.884352476936,0.4748089301640086,0.0,51.47902774810791,32.5,28.75,17.5,21.25
61,GA,3458.7849814863803,3735.91490803347,3145.5086797424374,100.0,100.0,1648.822640757594,0.3924709385572137,0.0,51.01591491699219,32.5,25.0,21.25,21.25
