seed,algorithm,primary_cost,total_cost,total_distance,effective_coverage,theoretical_coverage,obstacle_penalty,energy_range_percent,incomplete_tree_ratio,runtime_sec,task_ratio_v1,task_ratio_v2,task_ratio_v3,task_ratio_v4
42,PSO,5844.464735421989,6250.18530546489,4641.991978841828,100.0,100.0,6328.803982000847,0.43914149493405596,0.0,58.39872431755066,32.5,27.5,22.5,17.5
43,PSO,6664.417770238797,7127.390110253489,5293.886479989515,100.0,100.0,7213.322580259381,0.37845252091750037,0.0,59.52858281135559,32.5,35.0,20.0,12.5
44,PSO,6858.840990230161,7339.947926167797,5466.416175658815,100.0,100.0,7328.551655638665,0.49674273499941646,0.0,59.678553342819214,35.0,30.0,21.25,13.75
45,PSO,6715.136390270036,7177.150294818231,5264.131137485719,100.0,100.0,7636.869751496405,0.4823640815826552,0.0,59.39624047279358,35.0,25.0,23.75,16.25
46,PSO,6906.1395731857565,7383.0568047893885,5429.255003102595,100.0,100.0,7773.07668464822,0.4374169043159749,0.0,58.99607563018799,32.5,26.25,25.0,16.25
47,PSO,6280.309587981114,6729.388946595289,5062.246301422136,100.0,100.0,6410.859402941993,0.5654628299824505,0.0,59.377575397491455,32.5,30.0,23.75,13.75
48,PSO,6757.1758187940595,7208.401962373363,5157.185312586138,100.0,100.0,8421.00266425222,0.5295341342840243,0.0,59.65399932861328,35.0,26.25,21.25,17.5
49,PSO,6105.680006741303,6541.705378142784,4960.0201011830895,100.0,100.0,6029.788976622179,0.5626878566468368,0.0,59.72071313858032,33.75,27.5,25.0,13.75
50,PSO,7537.376061642288,8039.309666031683,5710.035035609519,100.0,100.0,9617.584347540891,0.33884927649522034,0.0,60.09184551239014,36.25,26.25,21.25,16.25
51,PSO,7002.592257768016,7489.408096736837,5445.778337401344,100.0,100.0,8193.757475614058,0.5292755762399537,0.0,59.704614877700806,33.75,28.75,23.75,13.75
52,PSO,7083.701487846987,7623.604941714226,5141.119312293214,100.0,100.0,10224.116713440915,0.8602006036699644,0.0,59.592694997787476,38.75,28.75,22.5,10.0
53,PSO,6640.262997245359,7098.137525606544,5230.495890664048,100.0,100.0,7419.826876743744,0.30909192617107983,0.0,59.36344885826111,38.75,26.25,21.25,13.75
54,PSO,6328.429091412027,6770.936050748386,4999.943145328343,100.0,100.0,6992.031295177285,0.5791004830076771,0.0,59.41581654548645,31.25,31.25,18.75,18.75
55,PSO,6533.725330762858,7329.17453358965,5091.754714467357,100.0,100.0,7589.319033134214,1.8585336629600522,0.0,59.94862985610962,37.5,31.25,17.5,13.75
56,PSO,6524.465703910088,7173.016735985643,4982.140062404207,100.0,100.0,8117.503376346745,1.3893624150418935,0.0,107.31296277046204,36.25,28.75,17.5,17.5
57,PSO,6486.961854876483,6969.964252409573,5118.749635434492,100.0,100.0,7201.116944431528,0.6765599350953552,0.0,179.14876770973206,33.75,27.5,22.5,16.25
58,PSO,7118.979535090019,7619.081203227437,5592.397687322014,100.0,100.0,8034.641304042138,0.5339030638497227,0.0,59.25636553764343,30.0,31.25,21.25,17.5
59,PSO,6459.905741685292,6909.762880642941,5132.386030520806,100.0,100.0,6986.945848234132,0.438767940926313,0.0,218.33048272132874,30.0,26.25,23.75,20.0
60,PSO,6499.601597475459,6955.294099476681,5127.493768907347,100.0,100.0,7221.620150358489,0.5664471333820165,0.0,58.76238560676575,35.0,27.5,22.5,15.0
61,PSO,6140.050644534508,6566.602106351557,4862.912224862702,100.0,100.0,6721.781156167402,0.5464217389633851,0.0,59.3580961227417,33.75,26.25,23.75,16.25
